Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,PPFST Crowd
US National,Season onset,Point,week,NA,NA,44.8885085
US National,Season onset,Bin,week,40,41,0.001191927
US National,Season onset,Bin,week,41,42,0.001056626
US National,Season onset,Bin,week,42,43,0.000851169
US National,Season onset,Bin,week,43,44,0.000866993
US National,Season onset,Bin,week,44,45,0.08441607
US National,Season onset,Bin,week,45,46,0.747290127
US National,Season onset,Bin,week,46,47,0.112164554
US National,Season onset,Bin,week,47,48,0.006772468
US National,Season onset,Bin,week,48,49,0.006978361
US National,Season onset,Bin,week,49,50,0.003970741
US National,Season onset,Bin,week,50,51,0.004758527
US National,Season onset,Bin,week,51,52,0.00447413
US National,Season onset,Bin,week,52,53,0.002926383
US National,Season onset,Bin,week,1,2,0.001675734
US National,Season onset,Bin,week,2,3,0.001495092
US National,Season onset,Bin,week,3,4,0.001762143
US National,Season onset,Bin,week,4,5,0.001649788
US National,Season onset,Bin,week,5,6,0.001396001
US National,Season onset,Bin,week,6,7,0.001109047
US National,Season onset,Bin,week,7,8,0.000844311
US National,Season onset,Bin,week,8,9,0.000765452
US National,Season onset,Bin,week,9,10,0.000753056
US National,Season onset,Bin,week,10,11,0.000752001
US National,Season onset,Bin,week,11,12,0.000752001
US National,Season onset,Bin,week,12,13,0.000752001
US National,Season onset,Bin,week,13,14,0.00075421
US National,Season onset,Bin,week,14,15,0.000752001
US National,Season onset,Bin,week,15,16,0.000752001
US National,Season onset,Bin,week,16,17,0.000752001
US National,Season onset,Bin,week,17,18,0.000752001
US National,Season onset,Bin,week,18,19,0.000752001
US National,Season onset,Bin,week,19,20,0.000752001
US National,Season onset,Bin,week,20,21,0.000752001
US National,Season onset,Bin,week,none,none,0.002557081
US National,Season peak week,Point,week,NA,NA,14.2045355
US National,Season peak week,Bin,week,40,41,0.001778
US National,Season peak week,Bin,week,41,42,0.001841289
US National,Season peak week,Bin,week,42,43,0.0019829
US National,Season peak week,Bin,week,43,44,0.002143098
US National,Season peak week,Bin,week,44,45,0.001991626
US National,Season peak week,Bin,week,45,46,0.002219198
US National,Season peak week,Bin,week,46,47,0.003032254
US National,Season peak week,Bin,week,47,48,0.005779696
US National,Season peak week,Bin,week,48,49,0.024557165
US National,Season peak week,Bin,week,49,50,0.02586862
US National,Season peak week,Bin,week,50,51,0.063662958
US National,Season peak week,Bin,week,51,52,0.098631566
US National,Season peak week,Bin,week,52,53,0.175965514
US National,Season peak week,Bin,week,1,2,0.125021244
US National,Season peak week,Bin,week,2,3,0.095036316
US National,Season peak week,Bin,week,3,4,0.082492585
US National,Season peak week,Bin,week,4,5,0.067296353
US National,Season peak week,Bin,week,5,6,0.06530332
US National,Season peak week,Bin,week,6,7,0.062147615
US National,Season peak week,Bin,week,7,8,0.035424167
US National,Season peak week,Bin,week,8,9,0.016188638
US National,Season peak week,Bin,week,9,10,0.008659865
US National,Season peak week,Bin,week,10,11,0.007368825
US National,Season peak week,Bin,week,11,12,0.005173545
US National,Season peak week,Bin,week,12,13,0.00335237
US National,Season peak week,Bin,week,13,14,0.003413166
US National,Season peak week,Bin,week,14,15,0.002430079
US National,Season peak week,Bin,week,15,16,0.002116602
US National,Season peak week,Bin,week,16,17,0.001969017
US National,Season peak week,Bin,week,17,18,0.001870803
US National,Season peak week,Bin,week,18,19,0.001867304
US National,Season peak week,Bin,week,19,20,0.001753075
US National,Season peak week,Bin,week,20,21,0.001661227
US National,Season peak percentage,Point,percent,NA,NA,5.991
US National,Season peak percentage,Bin,percent,0,0.1,0.001039914
