Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,
US National,Season onset,Point,week,NA,NA,47
US National,Season onset,Bin,week,40,41,0
US National,Season onset,Bin,week,41,42,0
US National,Season onset,Bin,week,42,43,0
US National,Season onset,Bin,week,43,44,0
US National,Season onset,Bin,week,44,45,0
US National,Season onset,Bin,week,45,46,0
US National,Season onset,Bin,week,46,47,0
US National,Season onset,Bin,week,47,48,1
US National,Season onset,Bin,week,48,49,0
US National,Season onset,Bin,week,49,50,0
US National,Season onset,Bin,week,50,51,0
US National,Season onset,Bin,week,51,52,0
US National,Season onset,Bin,week,52,53,0
US National,Season onset,Bin,week,1,2,0
US National,Season onset,Bin,week,2,3,0
US National,Season onset,Bin,week,3,4,0
US National,Season onset,Bin,week,4,5,0
US National,Season onset,Bin,week,5,6,0
US National,Season onset,Bin,week,6,7,0
US National,Season onset,Bin,week,7,8,0
US National,Season onset,Bin,week,8,9,0
US National,Season onset,Bin,week,9,10,0
US National,Season onset,Bin,week,10,11,0
US National,Season onset,Bin,week,11,12,0
US National,Season onset,Bin,week,12,13,0
US National,Season onset,Bin,week,13,14,0
US National,Season onset,Bin,week,14,15,0
US National,Season onset,Bin,week,15,16,0
US National,Season onset,Bin,week,16,17,0
US National,Season onset,Bin,week,17,18,0
US National,Season onset,Bin,week,18,19,0
US National,Season onset,Bin,week,19,20,0
US National,Season onset,Bin,week,20,21,0
US National,Season onset,Bin,week,none,none,0
US National,Season peak week,Point,week,NA,NA,52
US National,Season peak week,Bin,week,40,41,0.00220021
US National,Season peak week,Bin,week,41,42,0.00220021
US National,Season peak week,Bin,week,42,43,0.00220021
US National,Season peak week,Bin,week,43,44,0.00220021
US National,Season peak week,Bin,week,44,45,0.00220021
US National,Season peak week,Bin,week,45,46,0.00220021
US National,Season peak week,Bin,week,46,47,0.00220021
US National,Season peak week,Bin,week,47,48,0.00220021
US National,Season peak week,Bin,week,48,49,0.00220021
US National,Season peak week,Bin,week,49,50,0.00220021
US National,Season peak week,Bin,week,50,51,0.00220021
US National,Season peak week,Bin,week,51,52,0.00220021
US National,Season peak week,Bin,week,52,53,0.806881129
US National,Season peak week,Bin,week,1,2,0.006204671
US National,Season peak week,Bin,week,2,3,0.00220021
US National,Season peak week,Bin,week,3,4,0.006204671
US National,Season peak week,Bin,week,4,5,0.013821802
US National,Season peak week,Bin,week,5,6,0.019534603
US National,Season peak week,Bin,week,6,7,0.020486703
US National,Season peak week,Bin,week,7,8,0.031912405
US National,Season peak week,Bin,week,8,9,0.017630303
US National,Season peak week,Bin,week,9,10,0.003348261
US National,Season peak week,Bin,week,10,11,0.010965402
US National,Season peak week,Bin,week,11,12,0.008108951
US National,Season peak week,Bin,week,12,13,0.00239612
US National,Season peak week,Bin,week,13,14,0.00239612
US National,Season peak week,Bin,week,14,15,0.00220021
US National,Season peak week,Bin,week,15,16,0.00220021
US National,Season peak week,Bin,week,16,17,0.00220021
US National,Season peak week,Bin,week,17,18,0.00220021
US National,Season peak week,Bin,week,18,19,0.00239612
US National,Season peak week,Bin,week,19,20,0.00220021
US National,Season peak week,Bin,week,20,21,0.008108951
US National,Season peak percentage,Point,percent,NA,NA,5.846665833
US National,Season peak percentage,Bin,percent,0,0.1,0.000319572
US National,Season peak percentage,Bin,percent,0.1,0.2,0.000319572
US National,Season peak percentage,Bin,percent,0.2,0.3,0.000319572
US National,Season peak percentage,Bin,percent,0.3,0.4,0.000319572
US National,Season peak percentage,Bin,percent,0.4,0.5,0.000319572
US National,Season peak percentage,Bin,percent,0.5,0.6,0.000319572
US National,Season peak percentage,Bin,percent,0.6,0.7,0.000319572
US National,Season peak percentage,Bin,percent,0.7,0.8,0.000319572
US National,Season peak percentage,Bin,percent,0.8,0.9,0.000319572
US National,Season peak percentage,Bin,percent,0.9,1,0.000319572
US National,Season peak percentage,Bin,percent,1,1.1,0.000319572
US National,Season peak percentage,Bin,percent,1.1,1.2,0.000319572
US National,Season peak percentage,Bin,percent,1.2,1.3,0.000319572
US National,Season peak percentage,Bin,percent,1.3,1.4,0.000319572
US National,Season peak percentage,Bin,percent,1.4,1.5,0.000322004
US National,Season peak percentage,Bin,percent,1.5,1.6,0.000324089
US National,Season peak percentage,Bin,percent,1.6,1.7,0.000336247
US National,Season peak percentage,Bin,percent,1.7,1.8,0.000345627
US National,Season peak percentage,Bin,percent,1.8,1.9,0.000375155
US National,Season peak percentage,Bin,percent,1.9,2,0.000419969
US National,Season peak percentage,Bin,percent,2,2.1,0.00045054
US National,Season peak percentage,Bin,percent,2.1,2.2,0.000482847
US National,Season peak percentage,Bin,percent,2.2,2.3,0.00053044
US National,Season peak percentage,Bin,percent,2.3,2.4,0.000565527
US National,Season peak percentage,Bin,percent,2.4,2.5,0.000593318
US National,Season peak percentage,Bin,percent,2.5,2.6,0.000640564
US National,Season peak percentage,Bin,percent,2.6,2.7,0.000682946
US National,Season peak percentage,Bin,percent,2.7,2.8,0.000744434
US National,Season peak percentage,Bin,percent,2.8,2.9,0.000789248
US National,Season peak percentage,Bin,percent,2.9,3,0.000879223
US National,Season peak percentage,Bin,percent,3,3.1,0.000914309
US National,Season peak percentage,Bin,percent,3.1,3.2,0.001018875
US National,Season peak percentage,Bin,percent,3.2,3.3,0.00105813
US National,Season peak percentage,Bin,percent,3.3,3.4,0.001101207
US National,Season peak percentage,Bin,percent,3.4,3.5,0.001089743
US National,Season peak percentage,Bin,percent,3.5,3.6,0.001121356
US National,Season peak percentage,Bin,percent,3.6,3.7,0.001125524
US National,Season peak percentage,Bin,percent,3.7,3.8,0.001149494
US National,Season peak percentage,Bin,percent,3.8,3.9,0.001113018
US National,Season peak percentage,Bin,percent,3.9,4,0.001090438
US National,Season peak percentage,Bin,percent,4,4.1,0.001072721
US National,Season peak percentage,Bin,percent,4.1,4.2,0.001085227
US National,Season peak percentage,Bin,percent,4.2,4.3,0.00100081
US National,Season peak percentage,Bin,percent,4.3,4.4,0.0010022
US National,Season peak percentage,Bin,percent,4.4,4.5,0.000980314
US National,Season peak percentage,Bin,percent,4.5,4.6,0.000987957
US National,Season peak percentage,Bin,percent,4.6,4.7,0.001000463
US National,Season peak percentage,Bin,percent,4.7,4.8,0.000956691
US National,Season peak percentage,Bin,percent,4.8,4.9,0.000941406
US National,Season peak percentage,Bin,percent,4.9,5,0.000973019
US National,Season peak percentage,Bin,percent,5,5.1,0.00097024
US National,Season peak percentage,Bin,percent,5.1,5.2,0.00095947
US National,Season peak percentage,Bin,percent,5.2,5.3,0.000919173
US National,Season peak percentage,Bin,percent,5.3,5.4,0.000966071
US National,Season peak percentage,Bin,percent,5.4,5.5,0.000925079
US National,Season peak percentage,Bin,percent,5.5,5.6,0.000902845
US National,Season peak percentage,Bin,percent,5.6,5.7,0.000894855
US National,Season peak percentage,Bin,percent,5.7,5.8,0.001692717
US National,Season peak percentage,Bin,percent,5.8,5.9,0.525689544
US National,Season peak percentage,Bin,percent,5.9,6,0.019007364
US National,Season peak percentage,Bin,percent,6,6.1,0.034207713
US National,Season peak percentage,Bin,percent,6.1,6.2,0.023496648
US National,Season peak percentage,Bin,percent,6.2,6.3,0.016929214
US National,Season peak percentage,Bin,percent,6.3,6.4,0.019191274
US National,Season peak percentage,Bin,percent,6.4,6.5,0.017668882
US National,Season peak percentage,Bin,percent,6.5,6.6,0.015580486
US National,Season peak percentage,Bin,percent,6.6,6.7,0.016109248
US National,Season peak percentage,Bin,percent,6.7,6.8,0.014765863
US National,Season peak percentage,Bin,percent,6.8,6.9,0.024186548
US National,Season peak percentage,Bin,percent,6.9,7,0.020174367
US National,Season peak percentage,Bin,percent,7,7.1,0.017093126
US National,Season peak percentage,Bin,percent,7.1,7.2,0.018513501
US National,Season peak percentage,Bin,percent,7.2,7.3,0.011242558
US National,Season peak percentage,Bin,percent,7.3,7.4,0.011732553
US National,Season peak percentage,Bin,percent,7.4,7.5,0.014509543
US National,Season peak percentage,Bin,percent,7.5,7.6,0.014774987
US National,Season peak percentage,Bin,percent,7.6,7.7,0.018553009
US National,Season peak percentage,Bin,percent,7.7,7.8,0.018045403
US National,Season peak percentage,Bin,percent,7.8,7.9,0.014239025
US National,Season peak percentage,Bin,percent,7.9,8,0.010179933
US National,Season peak percentage,Bin,percent,8,8.1,0.005939008
US National,Season peak percentage,Bin,percent,8.1,8.2,0.005831313
US National,Season peak percentage,Bin,percent,8.2,8.3,0.005593477
US National,Season peak percentage,Bin,percent,8.3,8.4,0.003346416
US National,Season peak percentage,Bin,percent,8.4,8.5,0.00365001
US National,Season peak percentage,Bin,percent,8.5,8.6,0.003942401
US National,Season peak percentage,Bin,percent,8.6,8.7,0.00206286
US National,Season peak percentage,Bin,percent,8.7,8.8,0.001761716
US National,Season peak percentage,Bin,percent,8.8,8.9,0.001655786
US National,Season peak percentage,Bin,percent,8.9,9,0.00111349
US National,Season peak percentage,Bin,percent,9,9.1,0.001211479
US National,Season peak percentage,Bin,percent,9.1,9.2,0.001160857
US National,Season peak percentage,Bin,percent,9.2,9.3,0.001135743
US National,Season peak percentage,Bin,percent,9.3,9.4,0.00093383
US National,Season peak percentage,Bin,percent,9.4,9.5,0.000880042
US National,Season peak percentage,Bin,percent,9.5,9.6,0.001011352
US National,Season peak percentage,Bin,percent,9.6,9.7,0.000942494
US National,Season peak percentage,Bin,percent,9.7,9.8,0.000646288
US National,Season peak percentage,Bin,percent,9.8,9.9,0.000760031
US National,Season peak percentage,Bin,percent,9.9,10,0.000769728
US National,Season peak percentage,Bin,percent,10,10.1,0.000787103
US National,Season peak percentage,Bin,percent,10.1,10.2,0.000758446
US National,Season peak percentage,Bin,percent,10.2,10.3,0.000748943
US National,Season peak percentage,Bin,percent,10.3,10.4,0.000759238
US National,Season peak percentage,Bin,percent,10.4,10.5,0.000683932
US National,Season peak percentage,Bin,percent,10.5,10.6,0.00067675
US National,Season peak percentage,Bin,percent,10.6,10.7,0.000601829
US National,Season peak percentage,Bin,percent,10.7,10.8,0.000570218
US National,Season peak percentage,Bin,percent,10.8,10.9,0.000520076
US National,Season peak percentage,Bin,percent,10.9,11,0.000584133
US National,Season peak percentage,Bin,percent,11,11.1,0.000549605
US National,Season peak percentage,Bin,percent,11.1,11.2,0.000553851
US National,Season peak percentage,Bin,percent,11.2,11.3,0.000435122
US National,Season peak percentage,Bin,percent,11.3,11.4,0.000579964
US National,Season peak percentage,Bin,percent,11.4,11.5,0.000485244
US National,Season peak percentage,Bin,percent,11.5,11.6,0.000470286
US National,Season peak percentage,Bin,percent,11.6,11.7,0.000428355
US National,Season peak percentage,Bin,percent,11.7,11.8,0.000487729
US National,Season peak percentage,Bin,percent,11.8,11.9,0.000456205
US National,Season peak percentage,Bin,percent,11.9,12,0.000416871
US National,Season peak percentage,Bin,percent,12,12.1,0.000442637
US National,Season peak percentage,Bin,percent,12.1,12.2,0.000418427
US National,Season peak percentage,Bin,percent,12.2,12.3,0.000419122
US National,Season peak percentage,Bin,percent,12.3,12.4,0.00041166
US National,Season peak percentage,Bin,percent,12.4,12.5,0.000349507
US National,Season peak percentage,Bin,percent,12.5,12.6,0.000417732
US National,Season peak percentage,Bin,percent,12.6,12.7,0.00038884
US National,Season peak percentage,Bin,percent,12.7,12.8,0.000433238
US National,Season peak percentage,Bin,percent,12.8,12.9,0.000368652
US National,Season peak percentage,Bin,percent,12.9,13,0.000378399
US National,Season peak percentage,Bin,percent,13,100,0.002209235
US National,1 wk ahead,Point,percent,NA,NA,5.094685
US National,1 wk ahead,Bin,percent,0,0.1,0.000525141
US National,1 wk ahead,Bin,percent,0.1,0.2,0.000525141
US National,1 wk ahead,Bin,percent,0.2,0.3,0.000525141
US National,1 wk ahead,Bin,percent,0.3,0.4,0.000525141
US National,1 wk ahead,Bin,percent,0.4,0.5,0.000525142
US National,1 wk ahead,Bin,percent,0.5,0.6,0.000525142
US National,1 wk ahead,Bin,percent,0.6,0.7,0.000525143
US National,1 wk ahead,Bin,percent,0.7,0.8,0.000525144
US National,1 wk ahead,Bin,percent,0.8,0.9,0.000525145
US National,1 wk ahead,Bin,percent,0.9,1,0.000525147
US National,1 wk ahead,Bin,percent,1,1.1,0.00052515
US National,1 wk ahead,Bin,percent,1.1,1.2,0.000525154
US National,1 wk ahead,Bin,percent,1.2,1.3,0.000525159
US National,1 wk ahead,Bin,percent,1.3,1.4,0.000525167
US National,1 wk ahead,Bin,percent,1.4,1.5,0.000525179
US National,1 wk ahead,Bin,percent,1.5,1.6,0.000525195
US National,1 wk ahead,Bin,percent,1.6,1.7,0.000525219
US National,1 wk ahead,Bin,percent,1.7,1.8,0.000525254
US National,1 wk ahead,Bin,percent,1.8,1.9,0.000525306
US National,1 wk ahead,Bin,percent,1.9,2,0.000525383
US National,1 wk ahead,Bin,percent,2,2.1,0.000525498
US National,1 wk ahead,Bin,percent,2.1,2.2,0.00052567
US National,1 wk ahead,Bin,percent,2.2,2.3,0.000525929
US National,1 wk ahead,Bin,percent,2.3,2.4,0.000526322
US National,1 wk ahead,Bin,percent,2.4,2.5,0.000526921
US National,1 wk ahead,Bin,percent,2.5,2.6,0.000589894
US National,1 wk ahead,Bin,percent,2.6,2.7,0.000529246
US National,1 wk ahead,Bin,percent,2.7,2.8,0.00059348
US National,1 wk ahead,Bin,percent,2.8,2.9,0.000596856
US National,1 wk ahead,Bin,percent,2.9,3,0.000726222
US National,1 wk ahead,Bin,percent,3,3.1,0.000734416
US National,1 wk ahead,Bin,percent,3.1,3.2,0.00099545
US National,1 wk ahead,Bin,percent,3.2,3.3,0.001077537
US National,1 wk ahead,Bin,percent,3.3,3.4,0.001915605
US National,1 wk ahead,Bin,percent,3.4,3.5,0.00233685
US National,1 wk ahead,Bin,percent,3.5,3.6,0.003281747
US National,1 wk ahead,Bin,percent,3.6,3.7,0.005137161
US National,1 wk ahead,Bin,percent,3.7,3.8,0.008048747
US National,1 wk ahead,Bin,percent,3.8,3.9,0.009193127
US National,1 wk ahead,Bin,percent,3.9,4,0.012089567
US National,1 wk ahead,Bin,percent,4,4.1,0.015680876
US National,1 wk ahead,Bin,percent,4.1,4.2,0.018803322
US National,1 wk ahead,Bin,percent,4.2,4.3,0.023040054
US National,1 wk ahead,Bin,percent,4.3,4.4,0.027439479
US National,1 wk ahead,Bin,percent,4.4,4.5,0.030982448
US National,1 wk ahead,Bin,percent,4.5,4.6,0.037211241
US National,1 wk ahead,Bin,percent,4.6,4.7,0.042218031
US National,1 wk ahead,Bin,percent,4.7,4.8,0.048073851
US National,1 wk ahead,Bin,percent,4.8,4.9,0.049520125
US National,1 wk ahead,Bin,percent,4.9,5,0.056120364
US National,1 wk ahead,Bin,percent,5,5.1,0.06033714
US National,1 wk ahead,Bin,percent,5.1,5.2,0.065101567
US National,1 wk ahead,Bin,percent,5.2,5.3,0.061514739
US National,1 wk ahead,Bin,percent,5.3,5.4,0.0594162
US National,1 wk ahead,Bin,percent,5.4,5.5,0.054922719
US National,1 wk ahead,Bin,percent,5.5,5.6,0.048107474
US National,1 wk ahead,Bin,percent,5.6,5.7,0.042683621
US National,1 wk ahead,Bin,percent,5.7,5.8,0.036282723
US National,1 wk ahead,Bin,percent,5.8,5.9,0.028855778
US National,1 wk ahead,Bin,percent,5.9,6,0.022851547
US National,1 wk ahead,Bin,percent,6,6.1,0.019838041
US National,1 wk ahead,Bin,percent,6.1,6.2,0.014368379
US National,1 wk ahead,Bin,percent,6.2,6.3,0.010457444
US National,1 wk ahead,Bin,percent,6.3,6.4,0.008339271
US National,1 wk ahead,Bin,percent,6.4,6.5,0.006609843
US National,1 wk ahead,Bin,percent,6.5,6.6,0.004732477
US National,1 wk ahead,Bin,percent,6.6,6.7,0.003361231
US National,1 wk ahead,Bin,percent,6.7,6.8,0.003043036
US National,1 wk ahead,Bin,percent,6.8,6.9,0.001984014
US National,1 wk ahead,Bin,percent,6.9,7,0.001446295
US National,1 wk ahead,Bin,percent,7,7.1,0.001711227
US National,1 wk ahead,Bin,percent,7.1,7.2,0.001145476
US National,1 wk ahead,Bin,percent,7.2,7.3,0.001100984
US National,1 wk ahead,Bin,percent,7.3,7.4,0.000762212
US National,1 wk ahead,Bin,percent,7.4,7.5,0.000744
US National,1 wk ahead,Bin,percent,7.5,7.6,0.000794413
US National,1 wk ahead,Bin,percent,7.6,7.7,0.000662846
US National,1 wk ahead,Bin,percent,7.7,7.8,0.000533951
US National,1 wk ahead,Bin,percent,7.8,7.9,0.000592935
US National,1 wk ahead,Bin,percent,7.9,8,0.000590951
US National,1 wk ahead,Bin,percent,8,8.1,0.000589665
US National,1 wk ahead,Bin,percent,8.1,8.2,0.000650886
US National,1 wk ahead,Bin,percent,8.2,8.3,0.000526224
US National,1 wk ahead,Bin,percent,8.3,8.4,0.000587922
US National,1 wk ahead,Bin,percent,8.4,8.5,0.000525627
US National,1 wk ahead,Bin,percent,8.5,8.6,0.00052547
US National,1 wk ahead,Bin,percent,8.6,8.7,0.000525364
US National,1 wk ahead,Bin,percent,8.7,8.8,0.000525293
US National,1 wk ahead,Bin,percent,8.8,8.9,0.000525246
US National,1 wk ahead,Bin,percent,8.9,9,0.000525213
US National,1 wk ahead,Bin,percent,9,9.1,0.000525191
US National,1 wk ahead,Bin,percent,9.1,9.2,0.000525176
US National,1 wk ahead,Bin,percent,9.2,9.3,0.000525165
US National,1 wk ahead,Bin,percent,9.3,9.4,0.000525158
US National,1 wk ahead,Bin,percent,9.4,9.5,0.000525153
US National,1 wk ahead,Bin,percent,9.5,9.6,0.000525149
US National,1 wk ahead,Bin,percent,9.6,9.7,0.000525147
US National,1 wk ahead,Bin,percent,9.7,9.8,0.000525145
US National,1 wk ahead,Bin,percent,9.8,9.9,0.000525144
US National,1 wk ahead,Bin,percent,9.9,10,0.000525143
US National,1 wk ahead,Bin,percent,10,10.1,0.000525142
