"location","target","unit","type","bin_start_incl","bin_end_notincl"
"US National","Season onset","week","Bin","40","41"
"US National","Season onset","week","Bin","41","42"
"US National","Season onset","week","Bin","42","43"
"US National","Season onset","week","Bin","43","44"
"US National","Season onset","week","Bin","44","45"
"US National","Season onset","week","Bin","45","46"
"US National","Season onset","week","Bin","46","47"
"US National","Season onset","week","Bin","47","48"
"US National","Season onset","week","Bin","48","49"
"US National","Season onset","week","Bin","49","50"
"US National","Season onset","week","Bin","50","51"
"US National","Season onset","week","Bin","51","52"
"US National","Season onset","week","Bin","52","53"
"US National","Season onset","week","Bin","1","2"
"US National","Season onset","week","Bin","2","3"
"US National","Season onset","week","Bin","3","4"
"US National","Season onset","week","Bin","4","5"
"US National","Season onset","week","Bin","5","6"
"US National","Season onset","week","Bin","6","7"
"US National","Season onset","week","Bin","7","8"
"US National","Season onset","week","Bin","8","9"
"US National","Season onset","week","Bin","9","10"
"US National","Season onset","week","Bin","10","11"
"US National","Season onset","week","Bin","11","12"
"US National","Season onset","week","Bin","12","13"
"US National","Season onset","week","Bin","13","14"
"US National","Season onset","week","Bin","14","15"
"US National","Season onset","week","Bin","15","16"
"US National","Season onset","week","Bin","16","17"
"US National","Season onset","week","Bin","17","18"
"US National","Season onset","week","Bin","18","19"
"US National","Season onset","week","Bin","19","20"
"US National","Season onset","week","Bin","20","21"
"US National","Season onset","week","Bin","none","none"
"US National","Season peak week","week","Bin","40","41"
"US National","Season peak week","week","Bin","41","42"
"US National","Season peak week","week","Bin","42","43"
"US National","Season peak week","week","Bin","43","44"
"US National","Season peak week","week","Bin","44","45"
"US National","Season peak week","week","Bin","45","46"
"US National","Season peak week","week","Bin","46","47"
"US National","Season peak week","week","Bin","47","48"
"US National","Season peak week","week","Bin","48","49"
"US National","Season peak week","week","Bin","49","50"
"US National","Season peak week","week","Bin","50","51"
"US National","Season peak week","week","Bin","51","52"
"US National","Season peak week","week","Bin","52","53"
"US National","Season peak week","week","Bin","1","2"
"US National","Season peak week","week","Bin","2","3"
"US National","Season peak week","week","Bin","3","4"
"US National","Season peak week","week","Bin","4","5"
"US National","Season peak week","week","Bin","5","6"
"US National","Season peak week","week","Bin","6","7"
"US National","Season peak week","week","Bin","7","8"
"US National","Season peak week","week","Bin","8","9"
"US National","Season peak week","week","Bin","9","10"
"US National","Season peak week","week","Bin","10","11"
"US National","Season peak week","week","Bin","11","12"
"US National","Season peak week","week","Bin","12","13"
"US National","Season peak week","week","Bin","13","14"
"US National","Season peak week","week","Bin","14","15"
"US National","Season peak week","week","Bin","15","16"
"US National","Season peak week","week","Bin","16","17"
"US National","Season peak week","week","Bin","17","18"
"US National","Season peak week","week","Bin","18","19"
"US National","Season peak week","week","Bin","19","20"
"US National","Season peak week","week","Bin","20","21"
"US National","Season peak percentage","percent","Bin","0","0.1"
"US National","Season peak percentage","percent","Bin","0.1","0.2"
"US National","Season peak percentage","percent","Bin","0.2","0.3"
"US National","Season peak percentage","percent","Bin","0.3","0.4"
"US National","Season peak percentage","percent","Bin","0.4","0.5"
