"location","target","type","unit","bin_start_incl","bin_end_notincl","value","forecast_week"
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0.0025,"43"
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0.007,"43"
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0.026,"43"
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0.0465,"43"
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0.095,"43"
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.16,"43"
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.1865,"43"
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.163,"43"
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.1155,"43"
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.07,"43"
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.0405,"43"
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.026,"43"
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.0135,"43"
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.008,"43"
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.012,"43"
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.005,"43"
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.0025,"43"
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.003,"43"
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.003,"43"
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.003,"43"
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.0015,"43"
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.0015,"43"
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.003,"43"
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",5e-04,"43"
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0,"43"
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0,"43"
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",5e-04,"43"
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.001,"43"
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",5e-04,"43"
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0,"43"
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",5e-04,"43"
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0,"43"
