target,location,season,forecast date,observation,observation2
onset,US,2015/2016,,3,NA
pkwk,US,2015/2016,,10,NA
pkper,US,2015/2016,,3.6,NA
onset,Region1,2015/2016,,51,NA
pkwk,Region1,2015/2016,,10,NA
pkper,Region1,2015/2016,,2.5,NA
onset,Region2,2015/2016,,4,NA
pkwk,Region2,2015/2016,,11,NA
pkper,Region2,2015/2016,,4.1,NA
onset,Region3,2015/2016,,47,NA
pkwk,Region3,2015/2016,,10,NA
pkper,Region3,2015/2016,,4,NA
onset,Region4,2015/2016,,3,NA
pkwk,Region4,2015/2016,,10,NA
pkper,Region4,2015/2016,,3.6,NA
onset,Region5,2015/2016,,7,NA
pkwk,Region5,2015/2016,,10,NA
pkper,Region5,2015/2016,,3.3,NA
onset,Region6,2015/2016,,47,NA
pkwk,Region6,2015/2016,,7,NA
pkper,Region6,2015/2016,,5.6,NA
onset,Region7,2015/2016,,7,NA
pkwk,Region7,2015/2016,,10,NA
pkper,Region7,2015/2016,,2.5,NA
onset,Region8,2015/2016,,5,NA
pkwk,Region8,2015/2016,,8,11
pkper,Region8,2015/2016,,2.2,NA
onset,Region9,2015/2016,,3,NA
pkwk,Region9,2015/2016,,7,NA
pkper,Region9,2015/2016,,4.4,NA
onset,Region10,2015/2016,,2,NA
pkwk,Region10,2015/2016,,7,NA
pkper,Region10,2015/2016,,2.4,NA
1wk,region1,2015/2016,11/2/2015,0.767136,
1wk,region1,2015/2016,11/9/2015,0.923337,
1wk,region1,2015/2016,11/16/2015,0.767975,
1wk,region1,2015/2016,11/23/2015,0.736201,
1wk,region1,2015/2016,12/1/2015,0.954736,
1wk,region1,2015/2016,12/7/2015,0.807851,
1wk,region1,2015/2016,12/14/2015,0.975831,
1wk,region1,2015/2016,12/21/2015,1.03668,
1wk,region1,2015/2016,12/30/2015,1.38302,
1wk,region1,2015/2016,1/6/2016,1.59869,
1wk,region1,2015/2016,1/11/2016,1.32779,
1wk,region1,2015/2016,1/18/2016,1.40757,
1wk,region1,2015/2016,1/25/2016,1.51447,
1wk,region1,2015/2016,2/1/2016,1.70551,
1wk,region1,2015/2016,2/8/2016,1.80717,
1wk,region1,2015/2016,2/15/2016,1.9911,
1wk,region1,2015/2016,2/22/2016,1.98808,
1wk,region1,2015/2016,2/29/2016,1.97011,
1wk,region1,2015/2016,3/7/2016,2.00001,
1wk,region1,2015/2016,3/14/2016,2.54487,
1wk,region1,2015/2016,3/21/2016,2.20908,
1wk,region1,2015/2016,3/28/2016,2.01418,
1wk,region1,2015/2016,4/4/2016,2.04122,
1wk,region1,2015/2016,4/11/2016,1.7142,
1wk,region1,2015/2016,4/18/2016,1.57636,
1wk,region1,2015/2016,4/25/2016,1.62609,
1wk,region1,2015/2016,5/2/2016,1.13384,
1wk,region1,2015/2016,5/9/2016,1.06983,
1wk,region1,2015/2016,5/16/2016,0.899248,
2wk,region1,2015/2016,11/2/2015,0.923337,
2wk,region1,2015/2016,11/9/2015,0.767975,
2wk,region1,2015/2016,11/16/2015,0.736201,
2wk,region1,2015/2016,11/23/2015,0.954736,
2wk,region1,2015/2016,12/1/2015,0.807851,
2wk,region1,2015/2016,12/7/2015,0.975831,
2wk,region1,2015/2016,12/14/2015,1.03668,
2wk,region1,2015/2016,12/21/2015,1.38302,
2wk,region1,2015/2016,12/30/2015,1.59869,
2wk,region1,2015/2016,1/6/2016,1.32779,
2wk,region1,2015/2016,1/11/2016,1.40757,
2wk,region1,2015/2016,1/18/2016,1.51447,
2wk,region1,2015/2016,1/25/2016,1.70551,
2wk,region1,2015/2016,2/1/2016,1.80717,
2wk,region1,2015/2016,2/8/2016,1.9911,
2wk,region1,2015/2016,2/15/2016,1.98808,
2wk,region1,2015/2016,2/22/2016,1.97011,
2wk,region1,2015/2016,2/29/2016,2.00001,
2wk,region1,2015/2016,3/7/2016,2.54487,
2wk,region1,2015/2016,3/14/2016,2.20908,
2wk,region1,2015/2016,3/21/2016,2.01418,
2wk,region1,2015/2016,3/28/2016,2.04122,
2wk,region1,2015/2016,4/4/2016,1.7142,
2wk,region1,2015/2016,4/11/2016,1.57636,
2wk,region1,2015/2016,4/18/2016,1.62609,
2wk,region1,2015/2016,4/25/2016,1.13384,
2wk,region1,2015/2016,5/2/2016,1.06983,
2wk,region1,2015/2016,5/9/2016,0.899248,
2wk,region1,2015/2016,5/16/2016,0.896441,
3wk,region1,2015/2016,11/2/2015,0.767975,
3wk,region1,2015/2016,11/9/2015,0.736201,
3wk,region1,2015/2016,11/16/2015,0.954736,
3wk,region1,2015/2016,11/23/2015,0.807851,
3wk,region1,2015/2016,12/1/2015,0.975831,
3wk,region1,2015/2016,12/7/2015,1.03668,
3wk,region1,2015/2016,12/14/2015,1.38302,
3wk,region1,2015/2016,12/21/2015,1.59869,
3wk,region1,2015/2016,12/30/2015,1.32779,
3wk,region1,2015/2016,1/6/2016,1.40757,
3wk,region1,2015/2016,1/11/2016,1.51447,
3wk,region1,2015/2016,1/18/2016,1.70551,
3wk,region1,2015/2016,1/25/2016,1.80717,
3wk,region1,2015/2016,2/1/2016,1.9911,
3wk,region1,2015/2016,2/8/2016,1.98808,
3wk,region1,2015/2016,2/15/2016,1.97011,
3wk,region1,2015/2016,2/22/2016,2.00001,
3wk,region1,2015/2016,2/29/2016,2.54487,
3wk,region1,2015/2016,3/7/2016,2.20908,
3wk,region1,2015/2016,3/14/2016,2.01418,
3wk,region1,2015/2016,3/21/2016,2.04122,
3wk,region1,2015/2016,3/28/2016,1.7142,
3wk,region1,2015/2016,4/4/2016,1.57636,
3wk,region1,2015/2016,4/11/2016,1.62609,
3wk,region1,2015/2016,4/18/2016,1.13384,
3wk,region1,2015/2016,4/25/2016,1.06983,
3wk,region1,2015/2016,5/2/2016,0.899248,
3wk,region1,2015/2016,5/9/2016,0.896441,
3wk,region1,2015/2016,5/16/2016,0.844339,
4wk,region1,2015/2016,11/2/2015,0.736201,
4wk,region1,2015/2016,11/9/2015,0.954736,
4wk,region1,2015/2016,11/16/2015,0.807851,
4wk,region1,2015/2016,11/23/2015,0.975831,
4wk,region1,2015/2016,12/1/2015,1.03668,
4wk,region1,2015/2016,12/7/2015,1.38302,
4wk,region1,2015/2016,12/14/2015,1.59869,
4wk,region1,2015/2016,12/21/2015,1.32779,
4wk,region1,2015/2016,12/30/2015,1.40757,
4wk,region1,2015/2016,1/6/2016,1.51447,
4wk,region1,2015/2016,1/11/2016,1.70551,
4wk,region1,2015/2016,1/18/2016,1.80717,
4wk,region1,2015/2016,1/25/2016,1.9911,
4wk,region1,2015/2016,2/1/2016,1.98808,
4wk,region1,2015/2016,2/8/2016,1.97011,
4wk,region1,2015/2016,2/15/2016,2.00001,
4wk,region1,2015/2016,2/22/2016,2.54487,
4wk,region1,2015/2016,2/29/2016,2.20908,
4wk,region1,2015/2016,3/7/2016,2.01418,
4wk,region1,2015/2016,3/14/2016,2.04122,
4wk,region1,2015/2016,3/21/2016,1.7142,
4wk,region1,2015/2016,3/28/2016,1.57636,
4wk,region1,2015/2016,4/4/2016,1.62609,
4wk,region1,2015/2016,4/11/2016,1.13384,
4wk,region1,2015/2016,4/18/2016,1.06983,
4wk,region1,2015/2016,4/25/2016,0.899248,
4wk,region1,2015/2016,5/2/2016,0.896441,
4wk,region1,2015/2016,5/9/2016,0.844339,
4wk,region1,2015/2016,5/16/2016,0.715984,
1wk,region10,2015/2016,11/2/2015,0.853014,
1wk,region10,2015/2016,11/9/2015,0.526763,
1wk,region10,2015/2016,11/16/2015,0.891904,
1wk,region10,2015/2016,11/23/2015,0.694108,
1wk,region10,2015/2016,12/1/2015,0.82039,
1wk,region10,2015/2016,12/7/2015,0.812498,
1wk,region10,2015/2016,12/14/2015,0.594886,
1wk,region10,2015/2016,12/21/2015,0.658719,
1wk,region10,2015/2016,12/30/2015,0.66188,
1wk,region10,2015/2016,1/6/2016,0.791975,
1wk,region10,2015/2016,1/11/2016,0.888661,
1wk,region10,2015/2016,1/18/2016,1.1,
1wk,region10,2015/2016,1/25/2016,1.3789,
1wk,region10,2015/2016,2/1/2016,1.41403,
1wk,region10,2015/2016,2/8/2016,1.65259,
1wk,region10,2015/2016,2/15/2016,1.73793,
1wk,region10,2015/2016,2/22/2016,2.44289,
1wk,region10,2015/2016,2/29/2016,2.13499,
1wk,region10,2015/2016,3/7/2016,1.98941,
1wk,region10,2015/2016,3/14/2016,2.21239,
1wk,region10,2015/2016,3/21/2016,2.17566,
1wk,region10,2015/2016,3/28/2016,1.707,
1wk,region10,2015/2016,4/4/2016,1.77751,
1wk,region10,2015/2016,4/11/2016,1.71131,
1wk,region10,2015/2016,4/18/2016,0.994849,
1wk,region10,2015/2016,4/25/2016,0.797965,
1wk,region10,2015/2016,5/2/2016,0.74733,
1wk,region10,2015/2016,5/9/2016,0.940669,
1wk,region10,2015/2016,5/16/2016,0.529396,
2wk,region10,2015/2016,11/2/2015,0.526763,
2wk,region10,2015/2016,11/9/2015,0.891904,
2wk,region10,2015/2016,11/16/2015,0.694108,
2wk,region10,2015/2016,11/23/2015,0.82039,
2wk,region10,2015/2016,12/1/2015,0.812498,
2wk,region10,2015/2016,12/7/2015,0.594886,
2wk,region10,2015/2016,12/14/2015,0.658719,
2wk,region10,2015/2016,12/21/2015,0.66188,
2wk,region10,2015/2016,12/30/2015,0.791975,
2wk,region10,2015/2016,1/6/2016,0.888661,
2wk,region10,2015/2016,1/11/2016,1.1,
2wk,region10,2015/2016,1/18/2016,1.3789,
2wk,region10,2015/2016,1/25/2016,1.41403,
2wk,region10,2015/2016,2/1/2016,1.65259,
2wk,region10,2015/2016,2/8/2016,1.73793,
2wk,region10,2015/2016,2/15/2016,2.44289,
2wk,region10,2015/2016,2/22/2016,2.13499,
2wk,region10,2015/2016,2/29/2016,1.98941,
2wk,region10,2015/2016,3/7/2016,2.21239,
2wk,region10,2015/2016,3/14/2016,2.17566,
2wk,region10,2015/2016,3/21/2016,1.707,
2wk,region10,2015/2016,3/28/2016,1.77751,
2wk,region10,2015/2016,4/4/2016,1.71131,
2wk,region10,2015/2016,4/11/2016,0.994849,
2wk,region10,2015/2016,4/18/2016,0.797965,
